
> enterprise-auth-backend@1.0.0 dev
> nodemon --exec "ts-node --transpile-only" src/server.ts

[33m[nodemon] 3.1.11[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): src\**\* prisma\**\*[39m
[33m[nodemon] watching extensions: ts,json[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[2026-06-02T16:39:20.682Z] GET /uploads/134051042116388395-1779402018739-144267436.jpg
[2026-06-02T16:39:20.683Z] GET /uploads/134051042116388395-1779402027988-142589.jpg
[2026-06-02T16:39:20.702Z] GET /uploads/AAAAA-1779488468358-348722616.png
[2026-06-02T16:39:28.450Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:39:28.454Z] OPTIONS /api/trainer/categories
[2026-06-02T16:39:28.455Z] OPTIONS /api/trainer/halls
[2026-06-02T16:39:28.458Z] OPTIONS /api/public/tags
[2026-06-02T16:39:28.460Z] OPTIONS /api/trainer/courses/091dce9e-de2e-42b9-aee7-b1049eb81ac7
[2026-06-02T16:39:28.462Z] OPTIONS /api/trainer/halls
[2026-06-02T16:39:28.480Z] OPTIONS /api/trainer/categories
[2026-06-02T16:39:28.483Z] OPTIONS /api/public/tags
[2026-06-02T16:39:28.484Z] OPTIONS /api/trainer/courses/091dce9e-de2e-42b9-aee7-b1049eb81ac7
[2026-06-02T16:39:28.487Z] GET /api/trainer/enrollments
[2026-06-02T16:39:28.498Z] GET /api/trainer/courses/091dce9e-de2e-42b9-aee7-b1049eb81ac7
[2026-06-02T16:39:28.527Z] GET /api/trainer/halls
[2026-06-02T16:39:28.536Z] GET /api/trainer/categories
[2026-06-02T16:39:28.548Z] GET /api/public/tags
[2026-06-02T16:39:28.602Z] GET /api/trainer/courses/091dce9e-de2e-42b9-aee7-b1049eb81ac7
[2026-06-02T16:39:28.613Z] GET /api/trainer/categories
[2026-06-02T16:39:28.622Z] GET /api/trainer/halls
[2026-06-02T16:39:28.669Z] GET /api/public/tags
[2026-06-02T16:39:33.820Z] OPTIONS /api/trainer/courses/091dce9e-de2e-42b9-aee7-b1049eb81ac7
[2026-06-02T16:39:33.826Z] PUT /api/trainer/courses/091dce9e-de2e-42b9-aee7-b1049eb81ac7
[2026-06-02T16:39:34.727Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:39:34.729Z] OPTIONS /api/trainer/courses
[2026-06-02T16:39:34.731Z] OPTIONS /api/trainer/courses
[2026-06-02T16:39:34.732Z] GET /api/trainer/enrollments
[2026-06-02T16:39:34.741Z] GET /api/trainer/courses
[2026-06-02T16:39:34.758Z] GET /api/trainer/courses
[2026-06-02T16:39:34.825Z] GET /uploads/ChatGPT%20Image%2016%20%C3%99%C2%85%C3%98%C2%A7%C3%99%C2%8A%C3%99%C2%88%202026%C3%98%C2%8C%2003_57_12%20%C3%98%C2%B5-1780259728500-23728819.png
[2026-06-02T16:39:34.826Z] GET /uploads/134051042116388395-1779402027988-142589.jpg
[2026-06-02T16:39:34.828Z] GET /uploads/ChatGPT%20Image%20May%2010,%202026,%2005_25_29%20AM-1779492818866-150938748.png
[2026-06-02T16:39:34.829Z] GET /uploads/134051042116388395-1779402018739-144267436.jpg
[2026-06-02T16:39:34.831Z] GET /uploads/134051042116388395-1779401802114-227957321.jpg
[2026-06-02T16:39:34.834Z] GET /uploads/AAAAA-1779488468358-348722616.png
[2026-06-02T16:39:43.964Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:39:43.974Z] GET /api/notifications/unread-count
[2026-06-02T16:39:46.082Z] GET /api/notifications/unread-count
[32m[nodemon] restarting due to changes...[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[32m[nodemon] restarting due to changes...[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[2026-06-02T16:40:04.730Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:40:04.734Z] GET /api/trainer/enrollments
[2026-06-02T16:40:16.086Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:40:16.089Z] GET /api/notifications/unread-count
[2026-06-02T16:40:34.740Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:40:34.750Z] GET /api/trainer/enrollments
[2026-06-02T16:40:46.094Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:40:46.104Z] GET /api/notifications/unread-count
[2026-06-02T16:41:04.736Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:41:04.743Z] GET /api/trainer/enrollments
[2026-06-02T16:41:16.081Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:41:16.098Z] GET /api/notifications/unread-count
[2026-06-02T16:41:34.729Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:41:34.737Z] GET /api/trainer/enrollments
[2026-06-02T16:41:46.082Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:41:46.098Z] GET /api/notifications/unread-count
[2026-06-02T16:42:00.558Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:42:00.586Z] GET /api/notifications/unread-count
[2026-06-02T16:42:04.727Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:42:04.730Z] GET /api/trainer/enrollments
[2026-06-02T16:42:16.082Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:42:16.092Z] GET /api/notifications/unread-count
[2026-06-02T16:42:36.138Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:42:36.153Z] GET /api/trainer/enrollments
[2026-06-02T16:42:43.973Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:42:43.982Z] GET /api/notifications/unread-count
[2026-06-02T16:42:46.091Z] GET /api/notifications/unread-count
[2026-06-02T16:43:04.725Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:43:04.730Z] GET /api/trainer/enrollments
[2026-06-02T16:43:16.080Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:43:16.106Z] GET /api/notifications/unread-count
[2026-06-02T16:43:34.726Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:43:34.729Z] GET /api/trainer/enrollments
[2026-06-02T16:43:46.079Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:43:46.081Z] GET /api/notifications/unread-count
[2026-06-02T16:44:04.737Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:44:04.750Z] GET /api/trainer/enrollments
[2026-06-02T16:44:16.083Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:44:16.087Z] GET /api/notifications/unread-count
[2026-06-02T16:44:35.209Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:44:35.212Z] GET /api/trainer/enrollments
[2026-06-02T16:44:46.207Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:44:46.210Z] GET /api/notifications/unread-count
[2026-06-02T16:45:05.215Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:45:05.217Z] GET /api/trainer/enrollments
[32m[nodemon] restarting due to changes...[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[2026-06-02T16:45:17.625Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:45:17.633Z] GET /api/notifications/unread-count
[2026-06-02T16:46:11.215Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:46:11.218Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:46:11.220Z] GET /api/trainer/enrollments
[2026-06-02T16:46:11.227Z] GET /api/notifications/unread-count
[2026-06-02T16:46:12.008Z] GET /api/trainer/enrollments
[2026-06-02T16:46:12.013Z] GET /api/auth/me
[2026-06-02T16:46:12.016Z] GET /api/trainer/courses
[2026-06-02T16:46:12.025Z] OPTIONS /api/auth/refresh
[2026-06-02T16:46:12.029Z] POST /api/auth/refresh
[2026-06-02T16:46:12.645Z] GET /api/auth/me
[2026-06-02T16:46:12.653Z] POST /api/auth/refresh
[2026-06-02T16:46:19.488Z] GET /api/trainer/enrollments
[2026-06-02T16:46:19.491Z] GET /api/trainer/courses
[2026-06-02T16:46:19.493Z] GET /api/auth/me
